NAMESPACE            NAME                                                             READY   STATUS    RESTARTS   AGE
default              packet-capture-controller-dhmdx                                  1/1     Running   0          3m40s
default              packet-capture-controller-nkgbq                                  1/1     Running   0          3m40s
default              test-pod                                                         1/1     Running   0          83s
kube-system          antrea-agent-7jj6q                                               2/2     Running   0          6m32s
kube-system          antrea-agent-rm45f                                               2/2     Running   0          6m32s
kube-system          antrea-agent-zks4f                                               2/2     Running   0          6m32s
kube-system          antrea-controller-8bccbd94d-8l5np                                1/1     Running   0          6m32s
kube-system          coredns-5d78c9869d-j5llk                                         1/1     Running   0          8m37s
kube-system          coredns-5d78c9869d-w2mbj                                         1/1     Running   0          8m37s
kube-system          etcd-kind-packet-capture-test-control-plane                      1/1     Running   0          8m52s
kube-system          kube-apiserver-kind-packet-capture-test-control-plane            1/1     Running   0          8m51s
kube-system          kube-controller-manager-kind-packet-capture-test-control-plane   1/1     Running   0          8m51s
kube-system          kube-proxy-7hrqk                                                 1/1     Running   0          8m30s
kube-system          kube-proxy-g746c                                                 1/1     Running   0          8m30s
kube-system          kube-proxy-psl2q                                                 1/1     Running   0          8m38s
kube-system          kube-scheduler-kind-packet-capture-test-control-plane            1/1     Running   0          8m51s
local-path-storage   local-path-provisioner-6bc4bddd6b-llhxt                          1/1     Running   0          8m37s
